ts,datetime,current,temperature,device_id,parsed_datetime,recon_error,anomaly_score,anomaly_current,current_anomaly_reason,current_severity,anomaly_temperature,temperature_anomaly_reason,temperature_severity,combined_severity,anomaly_threshold,anomaly_percentile,anomaly_isolation_forest,anomaly_zscore,anomaly_ensemble,anomaly_ensemble_smoothed
5.0,1970-01-01T00:00:05+05:30,0.0557,53.33,d2,1970-01-01 00:00:05+05:30,12.599525174195996,-0.01491715603098971,0,,normal,0,,normal,normal,0,0,0,0,0,0
6.0,1970-01-01T00:00:06+05:30,0.0587,53.33,d2,1970-01-01 00:00:06+05:30,12.54130949305691,-0.01491720662639063,0,,normal,0,,normal,normal,0,0,0,0,0,0
7.0,1970-01-01T00:00:07+05:30,0.0787,53.33,d2,1970-01-01 00:00:07+05:30,12.200473313580826,-0.014917502848006713,0,,normal,0,,normal,normal,0,0,0,0,0,0
8.0,1970-01-01T00:00:08+05:30,0.0437,53.33,d2,1970-01-01 00:00:08+05:30,13.450986828802316,-0.014916416023436088,0,,normal,0,,normal,normal,0,0,0,0,0,0
9.0,1970-01-01T00:00:09+05:30,0.0197,53.33,d2,1970-01-01 00:00:09+05:30,13.742653052497214,-0.014916162535557328,0,,normal,0,,normal,normal,0,0,0,0,0,0
10.0,1970-01-01T00:00:10+05:30,0.0957,53.33,d2,1970-01-01 00:00:10+05:30,12.195372283461381,-0.014917507281325345,0,,normal,0,,normal,normal,0,0,0,0,0,0
11.0,1970-01-01T00:00:11+05:30,0.0,53.33,d2,1970-01-01 00:00:11+05:30,14.940602050963781,-0.014915121394945859,0,,normal,0,,normal,normal,0,0,0,0,0,0
12.0,1970-01-01T00:00:12+05:30,0.0467,53.33,d2,1970-01-01 00:00:12+05:30,12.583770996523413,-0.014917169722986777,0,,normal,0,,normal,normal,0,0,0,0,0,0
13.0,1970-01-01T00:00:13+05:30,0.0497,53.33,d2,1970-01-01 00:00:13+05:30,12.792742086244006,-0.014916988105665498,0,,normal,0,,normal,normal,0,0,0,0,0,0
14.0,1970-01-01T00:00:14+05:30,0.0007,53.33,d2,1970-01-01 00:00:14+05:30,14.563381269894682,-0.01491544923851446,0,,normal,0,,normal,normal,0,0,0,0,0,0
15.0,1970-01-01T00:00:15+05:30,0.0387,53.33,d2,1970-01-01 00:00:15+05:30,610.3811367860612,-0.01439762246701047,0,,normal,0,,normal,normal,0,1,0,0,0,0
16.0,1970-01-01T00:00:16+05:30,0.0,53.33,d2,1970-01-01 00:00:16+05:30,14.360597408386688,-0.014915625478499499,0,,normal,0,,normal,normal,0,0,0,0,0,0
